job_id,job_role,experience_level,years_of_experience,education_level,skills,tools_and_technologies,certifications,industry,employment_type,location,company_size,annual_salary_usd,remote_friendly
2335,Data Scientist,Mid,4,PhD,"Python, Git, A/B Testing, Statistics, Feature Engineering",Tableau,AWS ML Specialty,Tech,Full-time,"London, UK",Large,132733,No
2336,Data Analyst,Mid,2,Master's,"SQL, Data Cleaning, Excel, Cloud (AWS/GCP/Azure), Tableau, Business Intelligence","Power BI, Tableau",Tableau Desktop Specialist,Marketing,Full-time,"Denver, CO",Large,81987,No
2337,Data Scientist,Entry,0,Master's,"Scikit-learn, Storytelling, Python, Deep Learning, Machine Learning, Statistics, Feature Engineering","scikit-learn, Jupyter, Spark",,E-commerce,Remote,"Boston, MA",Large,77808,Yes
2338,AI Researcher,Entry,1,Master's,"Python, Statistics, APIs, Research, Deep Learning","JAX, Weights & Biases, Overleaf",,Finance,Full-time,Remote,Large,87985,Yes
2339,ML Engineer,Mid,4,PhD,"Docker, Machine Learning, Python, CI/CD, APIs",FastAPI,Azure AI Engineer,E-commerce,Remote,"Austin, TX",Mid-size,135695,Yes
2340,AI Researcher,Entry,0,Bachelor's,"Publications, PyTorch, Visualization, Statistics, Deep Learning, Mathematics","JAX, Weights & Biases",ICLR Paper Publication,Academia,Contract,"London, UK",Mid-size,101377,No
2341,Quant Researcher,Mid,3,Master's,"Financial Modeling, Stochastic Calculus, Backtesting, Python, Risk Modeling, Derivatives Pricing, Monte Carlo","Bloomberg, KDB+",CFA Level I,Insurance,Full-time,"Atlanta, GA",Large,144449,Hybrid
2342,AI Product Manager,Mid,5,Master's,"Product Management, Machine Learning, Strategy, Stakeholder Management, Data Analysis, User Research, Excel",Mixpanel,PMI-ACP,E-commerce,Full-time,Washington DC,Mid-size,101809,Hybrid
2343,Data Analyst,Senior,12,Bachelor's,"Python, Reporting, Deep Learning, Business Intelligence, Machine Learning, Statistics","Excel, Looker",Google Data Analytics,Retail,Full-time,Washington DC,Mid-size,131548,Hybrid
2344,NLP Engineer,Entry,1,Bachelor's,"Problem Solving, Python, BERT, Language Models, Transformers, PyTorch","spaCy, FastAPI, Hugging Face",Hugging Face Course,Tech,Contract,"Berlin, Germany",Mid-size,115304,Yes
2345,Data Scientist,Mid,6,Bachelor's,"Statistics, Machine Learning, A/B Testing, Deep Learning, Linux","MLflow, Jupyter",,Insurance,Full-time,"Austin, TX",Mid-size,114581,Hybrid
2346,Data Analyst,Entry,2,Bachelor's,"Power BI, Python, Scikit-learn, Excel, Business Intelligence","Excel, Power BI, Looker",Tableau Desktop Specialist,Education,Full-time,"London, UK",Mid-size,53346,No
2347,NLP Engineer,Senior,14,Master's,"Deep Learning, NumPy, Machine Learning, PyTorch, Transformers, BERT, Problem Solving, Hugging Face","Hugging Face, PyTorch",Hugging Face Course,Legal,Remote,"Dublin, Ireland",Startup,212151,Yes
2348,AI Researcher,Entry,2,Bachelor's,"Research, Data Analysis, Python, Algorithm Design, Experimentation, Deep Learning","JAX, SLURM",,Tech,Full-time,Washington DC,Large,110242,No
2349,AI Product Manager,Entry,2,Bachelor's,"Stakeholder Management, SQL, User Research, Product Management, Problem Solving, Agile, Data Analysis, Communication","Jira, Mixpanel",Google PM Certificate,Education,Full-time,"Bangalore, India",Mid-size,71728,Yes
2350,ML Engineer,Senior,9,Master's,"CI/CD, Python, Model Deployment, Kubernetes, APIs, Scikit-learn, Machine Learning","PyTorch, TensorFlow",Azure AI Engineer,Healthcare,Full-time,"San Francisco, CA",Mid-size,187202,No
2351,Data Engineer,Senior,11,Bachelor's,"Problem Solving, ETL, Pipeline Design, Cloud (AWS/GCP/Azure), SQL, Python, Hadoop","Airflow, Kafka, Spark",AWS Data Analytics,Telecom,Full-time,"London, UK",Large,188496,Yes
2352,Quant Researcher,Mid,2,Bachelor's,"Python, Derivatives Pricing, Backtesting, Mathematics, Problem Solving, Statistics",R,,Finance,Full-time,"Los Angeles, CA",Mid-size,185035,Yes
2353,ML Engineer,Entry,1,Master's,"PyTorch, CI/CD, Machine Learning, Pandas, Scikit-learn, APIs, Python, Docker",Kubernetes,GCP Professional ML,E-commerce,Full-time,"Los Angeles, CA",Mid-size,99559,Yes
2354,AI Researcher,Mid,5,Master's,"Experimentation, Mathematics, LaTeX, Research, Statistics, Publications","Overleaf, Weights & Biases, JAX",,Healthcare,Full-time,"Austin, TX",Startup,170918,Yes
2355,Data Scientist,Entry,0,Bachelor's,"Deep Learning, Feature Engineering, Python, SQL, Pandas, Problem Solving","MLflow, Tableau",,Insurance,Full-time,"Sydney, Australia",Mid-size,90756,No
2356,AI Researcher,Senior,13,Master's,"Algorithm Design, Statistics, Deep Learning, PyTorch, Publications, Experimentation, Data Analysis","JAX, Weights & Biases",NeurIPS Paper,Finance,Full-time,"Atlanta, GA",Large,243202,No
2357,Computer Vision Engineer,Senior,12,PhD,"Image Processing, SQL, Deep Learning, TensorFlow, PyTorch, OpenCV","TensorFlow, Roboflow",,Tech,Contract,"Paris, France",Large,203362,No
2358,Data Scientist,Entry,1,Bachelor's,"Machine Learning, Mathematics, Deep Learning, SQL, Python","Spark, Jupyter, MLflow",AWS ML Specialty,Finance,Full-time,"Dublin, Ireland",Mid-size,73498,Hybrid
2359,ML Engineer,Entry,1,Bachelor's,"Model Deployment, Python, Scikit-learn, Linux, Cloud (AWS/GCP/Azure), Docker, CI/CD, Git","Kubernetes, FastAPI, Docker",,Tech,Remote,"Toronto, Canada",Large,88738,Yes
2360,Data Engineer,Senior,7,PhD,"Problem Solving, Airflow, Hadoop, SQL, Kafka, Python","Redshift, Spark, Kafka",GCP Professional Data Engineer,Healthcare,Full-time,Remote,Startup,161705,Yes
2361,Data Scientist,Senior,11,Master's,"Machine Learning, Storytelling, A/B Testing, Data Analysis, Statistics, Python, Scikit-learn, Deep Learning","scikit-learn, MLflow",AWS ML Specialty,E-commerce,Full-time,"Atlanta, GA",Startup,186085,Hybrid
2362,ML Engineer,Mid,6,PhD,"PyTorch, Python, Deep Learning, Problem Solving, Machine Learning, Model Deployment, Docker, APIs","FastAPI, Docker, Kubernetes",,E-commerce,Full-time,"Seattle, WA",Large,134449,Hybrid
2363,Quant Researcher,Senior,13,Master's,"Python, Monte Carlo, Stochastic Calculus, Financial Modeling, Risk Modeling, Visualization, Backtesting","KDB+, R",FRM,Insurance,Full-time,"Atlanta, GA",Large,221881,Yes
2364,ML Engineer,Senior,15,PhD,"Machine Learning, Docker, PyTorch, SQL, Visualization, APIs, Deep Learning, Model Deployment",Kubernetes,,Automotive,Full-time,"Sydney, Australia",Mid-size,229866,Hybrid
2365,ML Engineer,Entry,1,Master's,"APIs, Model Deployment, Machine Learning, Data Analysis, CI/CD, Communication, PyTorch","TensorFlow, Kubernetes",Azure AI Engineer,Defense,Full-time,"San Francisco, CA",Large,102292,Hybrid
2366,Quant Researcher,Senior,14,Master's,"Mathematics, R, Stochastic Calculus, Python, Linux, Financial Modeling, Statistics",Python,,Banking,Full-time,"Los Angeles, CA",Large,336682,Hybrid
2367,Data Scientist,Entry,1,Bachelor's,"A/B Testing, Pandas, Storytelling, Feature Engineering, Scikit-learn, Mathematics, SQL, Statistics","Tableau, scikit-learn, Spark",,Insurance,Contract,Remote,Large,82924,Yes
2368,Data Scientist,Entry,0,Master's,"Python, Statistics, Feature Engineering, Machine Learning, Scikit-learn, Storytelling","Tableau, scikit-learn, MLflow",,Healthcare,Full-time,"Chicago, IL",Large,87545,No
2369,Computer Vision Engineer,Mid,4,PhD,"TensorFlow, OpenCV, Object Detection, Python, Problem Solving","Roboflow, OpenCV",AWS ML Specialty,Defense,Full-time,"Chicago, IL",Mid-size,128885,Hybrid
2370,AI Product Manager,Mid,5,PhD,"Cloud (AWS/GCP/Azure), Git, Data Analysis, SQL, Roadmapping, User Research","Figma, Tableau, Confluence",CSPO,SaaS,Contract,"Chicago, IL",Mid-size,141178,Yes
2371,ML Engineer,Mid,5,PhD,"Cloud (AWS/GCP/Azure), Scikit-learn, PyTorch, Docker, CI/CD, Kubernetes",Kubernetes,AWS ML Specialty,E-commerce,Contract,"Amsterdam, Netherlands",Large,146803,Yes
2372,ML Engineer,Mid,2,PhD,"Scikit-learn, Machine Learning, Cloud (AWS/GCP/Azure), Model Deployment, Kubernetes, APIs, Python","TensorFlow, Kubernetes, PyTorch",Azure AI Engineer,Healthcare,Full-time,"Atlanta, GA",Mid-size,141365,Yes
2373,Data Scientist,Entry,0,Master's,"Python, Machine Learning, Scikit-learn, Feature Engineering, Statistics, A/B Testing, Cloud (AWS/GCP/Azure)","Spark, scikit-learn",,Retail,Part-time,"Amsterdam, Netherlands",Mid-size,49509,Hybrid
2374,ML Engineer,Entry,2,Master's,"Statistics, Docker, CI/CD, APIs, Scikit-learn, Machine Learning","Docker, TensorFlow",Azure AI Engineer,Automotive,Full-time,"Amsterdam, Netherlands",Startup,92057,Yes
2375,Data Scientist,Senior,11,Bachelor's,"Visualization, Python, Machine Learning, SQL, Linux","Spark, Tableau, Jupyter",Google Professional ML Engineer,Insurance,Remote,"Berlin, Germany",Mid-size,145764,Yes
2376,AI Researcher,Senior,15,Bachelor's,"Mathematics, Problem Solving, Python, Algorithm Design, Publications, Deep Learning, PyTorch","SLURM, PyTorch, Weights & Biases",,Finance,Contract,"Amsterdam, Netherlands",Mid-size,255668,Yes
2377,NLP Engineer,Senior,14,Bachelor's,"NLP, Hugging Face, BERT, Text Processing, Python","PyTorch, NLTK",DeepLearning.AI NLP,Legal,Full-time,"Toronto, Canada",Startup,181206,No
2378,Quant Researcher,Mid,3,Master's,"R, SQL, Git, Risk Modeling, Backtesting, Derivatives Pricing, Python, Mathematics",KDB+,FRM,Consulting,Part-time,"Toronto, Canada",Large,86112,Yes
2379,Data Engineer,Entry,0,Bachelor's,"Pipeline Design, NumPy, Airflow, ETL, Data Warehousing, Kafka, Python, Cloud (AWS/GCP/Azure)","Spark, Airflow, Redshift",AWS Data Analytics,E-commerce,Full-time,Remote,Large,99138,Yes
2380,Computer Vision Engineer,Entry,2,Master's,"CUDA, Git, TensorFlow, Linux, OpenCV","OpenCV, CUDA, Roboflow",AWS ML Specialty,Defense,Full-time,"London, UK",Startup,110124,Yes
2381,Computer Vision Engineer,Senior,14,Bachelor's,"TensorFlow, Object Detection, Deep Learning, Python, Data Analysis, PyTorch, Image Processing, Statistics",OpenCV,NVIDIA DLI,Defense,Remote,Singapore,Large,217949,Yes
2382,Data Analyst,Entry,2,Bachelor's,"Machine Learning, Reporting, Visualization, Power BI, Cloud (AWS/GCP/Azure), Scikit-learn, Tableau, SQL","Google Sheets, Excel",Tableau Desktop Specialist,Marketing,Full-time,"Bangalore, India",Large,73892,Yes
2383,Data Engineer,Senior,11,PhD,"Kafka, Cloud (AWS/GCP/Azure), Mathematics, Data Analysis, Python, Data Warehousing, SQL, Hadoop","Spark, dbt",GCP Professional Data Engineer,Healthcare,Full-time,"Austin, TX",Large,159128,Hybrid
2384,AI Product Manager,Mid,5,PhD,"User Research, Communication, Product Management, SQL, Machine Learning, Roadmapping, Visualization",Figma,CSPO,Finance,Full-time,"Dublin, Ireland",Large,129997,Yes
2385,ML Engineer,Senior,12,Master's,"Docker, Kubernetes, Cloud (AWS/GCP/Azure), Machine Learning, PyTorch, APIs, Model Deployment","Docker, PyTorch",Azure AI Engineer,Healthcare,Full-time,"Denver, CO",Large,209388,Hybrid
2386,Data Analyst,Entry,0,Bachelor's,"Excel, Python, Visualization, Data Cleaning, NumPy, Tableau, Reporting","Google Sheets, Tableau",Google Data Analytics,Retail,Full-time,"Los Angeles, CA",Large,59488,Hybrid
2387,NLP Engineer,Entry,1,Master's,"PyTorch, Transformers, Tokenization, Deep Learning, Text Processing",Hugging Face,Hugging Face Course,Finance,Full-time,"San Francisco, CA",Large,84269,Hybrid
2388,Quant Researcher,Entry,2,Master's,"SQL, Python, Risk Modeling, Stochastic Calculus, Data Analysis, APIs, Financial Modeling, Backtesting",Bloomberg,,Consulting,Internship,"Austin, TX",Large,52572,Hybrid
2389,Data Analyst,Mid,2,PhD,"Cloud (AWS/GCP/Azure), Business Intelligence, Python, Scikit-learn, Reporting, Tableau",Google Sheets,Tableau Desktop Specialist,Retail,Contract,"Boston, MA",Mid-size,89980,Yes
2390,Computer Vision Engineer,Mid,6,Master's,"Computer Vision, PyTorch, Object Detection, Statistics, Deep Learning, Visualization, TensorFlow, CNNs",TensorFlow,AWS ML Specialty,Manufacturing,Full-time,"Boston, MA",Mid-size,150000,Hybrid
2391,Computer Vision Engineer,Senior,10,Master's,"CUDA, Machine Learning, CNNs, Python, Scikit-learn, Deep Learning, OpenCV, Computer Vision","CUDA, OpenCV, TensorFlow",,Healthcare,Full-time,"Chicago, IL",Large,172693,Yes
2392,ML Engineer,Mid,3,Master's,"Cloud (AWS/GCP/Azure), PyTorch, Visualization, Machine Learning, Excel","Docker, PyTorch",GCP Professional ML,E-commerce,Full-time,"Berlin, Germany",Mid-size,143439,No
2393,Data Engineer,Mid,3,Master's,"Data Warehousing, Problem Solving, Hadoop, Kafka, Python","Airflow, Spark, Redshift",GCP Professional Data Engineer,Logistics,Full-time,"Paris, France",Startup,139647,Hybrid
2394,Data Scientist,Senior,6,PhD,"Scikit-learn, SQL, Cloud (AWS/GCP/Azure), APIs, Deep Learning, Pandas, Mathematics, A/B Testing",Jupyter,,Insurance,Remote,"Denver, CO",Mid-size,140109,Yes
2395,Computer Vision Engineer,Mid,6,Master's,"Statistics, CNNs, SQL, Problem Solving, Image Processing","TensorFlow, CUDA, OpenCV",NVIDIA DLI,Manufacturing,Full-time,"Paris, France",Mid-size,134681,Hybrid
2396,Computer Vision Engineer,Mid,3,PhD,"Deep Learning, OpenCV, Computer Vision, CNNs, Python, Problem Solving, Linux","TensorFlow, Roboflow",,Automotive,Full-time,Singapore,Large,140571,Yes
2397,AI Product Manager,Senior,15,PhD,"Agile, Communication, User Research, Data Analysis, SQL, Strategy","Tableau, Figma",PMI-ACP,Education,Full-time,Washington DC,Large,205203,Yes
2398,AI Product Manager,Senior,12,Bachelor's,"Python, Strategy, Product Management, Stakeholder Management, Data Analysis, Agile",Figma,,E-commerce,Contract,"Boston, MA",Startup,229568,Yes
2399,Data Engineer,Entry,2,Master's,"Airflow, Machine Learning, Python, Kafka, Pipeline Design","Airflow, dbt, Spark",AWS Data Analytics,Logistics,Contract,"Los Angeles, CA",Large,101011,No
2400,NLP Engineer,Senior,12,PhD,"Language Models, Linux, BERT, PyTorch, NLP, Deep Learning, Transformers",PyTorch,Hugging Face Course,E-commerce,Full-time,"Amsterdam, Netherlands",Mid-size,180543,No
2401,ML Engineer,Mid,4,Bachelor's,"NumPy, Python, PyTorch, CI/CD, Docker, Model Deployment, Cloud (AWS/GCP/Azure), Kubernetes","Kubernetes, TensorFlow, Docker",GCP Professional ML,Automotive,Full-time,"Seattle, WA",Mid-size,156623,Yes
2402,Data Engineer,Entry,0,Bachelor's,"ETL, SQL, Pipeline Design, Airflow, Kafka, Spark, Data Warehousing, Deep Learning","Kafka, Airflow",GCP Professional Data Engineer,Telecom,Full-time,"Bangalore, India",Mid-size,82107,Hybrid
2403,Data Engineer,Entry,0,Master's,"Hadoop, ETL, Machine Learning, Kafka, Airflow, Pipeline Design, Python, Excel","Kafka, Redshift, Spark",AWS Data Analytics,Finance,Full-time,"Bangalore, India",Large,103671,No
2404,AI Product Manager,Entry,1,Master's,"Product Management, APIs, User Research, Machine Learning, Data Analysis, SQL, Strategy","Confluence, Tableau",Google PM Certificate,Tech,Full-time,Remote,Startup,80646,Yes
2405,Data Engineer,Senior,15,Bachelor's,"Git, Cloud (AWS/GCP/Azure), Spark, Pipeline Design, Hadoop, Excel",Spark,Databricks Associate,Finance,Full-time,"Sydney, Australia",Mid-size,167479,Hybrid
2406,AI Product Manager,Mid,6,Bachelor's,"Python, User Research, Product Management, Stakeholder Management, SQL, Data Analysis",Confluence,Google PM Certificate,Healthcare,Full-time,"Dublin, Ireland",Large,130286,No
2407,Data Scientist,Mid,4,Master's,"Python, A/B Testing, NumPy, Pandas, Storytelling",Tableau,,Retail,Remote,"Seattle, WA",Mid-size,130170,Yes
2408,NLP Engineer,Entry,0,Bachelor's,"Deep Learning, BERT, Text Processing, Data Analysis, Python, Transformers","NLTK, FastAPI",Hugging Face Course,Media,Full-time,"Dublin, Ireland",Large,81940,Hybrid
2409,AI Product Manager,Senior,13,Bachelor's,"Strategy, Product Management, Machine Learning, Data Analysis, Mathematics, Agile, Stakeholder Management","Tableau, Mixpanel",Google PM Certificate,SaaS,Full-time,"Chicago, IL",Mid-size,159892,No
2410,NLP Engineer,Mid,6,Master's,"Python, Deep Learning, Hugging Face, Language Models, Text Processing, NLP, Tokenization, PyTorch","PyTorch, FastAPI",,Legal,Full-time,"Los Angeles, CA",Startup,135949,Hybrid
2411,Data Engineer,Mid,3,Master's,"ETL, Python, Kafka, SQL, Cloud (AWS/GCP/Azure), Spark, APIs",Airflow,Databricks Associate,E-commerce,Full-time,"Boston, MA",Startup,146014,No
2412,NLP Engineer,Mid,5,PhD,"Text Processing, Language Models, PyTorch, Transformers, Deep Learning","FastAPI, Hugging Face",,Finance,Full-time,Singapore,Large,137563,No
2413,ML Engineer,Entry,2,Bachelor's,"CI/CD, Excel, Cloud (AWS/GCP/Azure), Docker, Communication","Docker, Kubernetes, FastAPI",AWS ML Specialty,Defense,Full-time,"Berlin, Germany",Large,80946,Yes
2414,AI Researcher,Senior,13,Master's,"Excel, Python, Cloud (AWS/GCP/Azure), LaTeX, Statistics, Publications","Weights & Biases, PyTorch",NeurIPS Paper,Defense,Full-time,Remote,Large,224268,Yes
2415,Data Analyst,Mid,4,Master's,"Visualization, Data Cleaning, Reporting, Power BI, Python, SQL, Tableau","Google Sheets, Looker",Tableau Desktop Specialist,Marketing,Full-time,"Paris, France",Startup,84014,Yes
2416,NLP Engineer,Entry,1,Master's,"Tokenization, NLP, Linux, BERT, Transformers","spaCy, FastAPI",Hugging Face Course,Healthcare,Full-time,"Denver, CO",Large,77226,Hybrid
2417,Computer Vision Engineer,Mid,2,Bachelor's,"CNNs, Git, Object Detection, Deep Learning, Python, Linux, Computer Vision","TensorFlow, PyTorch",NVIDIA DLI,Defense,Full-time,Singapore,Large,126734,Yes
2418,AI Researcher,Senior,13,PhD,"Mathematics, Deep Learning, Experimentation, Python, Communication","JAX, Overleaf, PyTorch",,Defense,Part-time,"Chicago, IL",Startup,101272,Hybrid
2419,Data Scientist,Mid,5,PhD,"Scikit-learn, Python, Machine Learning, Pandas, Deep Learning, Data Analysis","Tableau, MLflow",Google Professional ML Engineer,Healthcare,Full-time,"Austin, TX",Large,111611,Hybrid
2420,Data Engineer,Entry,1,Bachelor's,"Pipeline Design, ETL, Statistics, Cloud (AWS/GCP/Azure), Kafka, Python",dbt,GCP Professional Data Engineer,Healthcare,Contract,"Berlin, Germany",Large,95982,Yes
2421,Computer Vision Engineer,Entry,0,Bachelor's,"CUDA, Computer Vision, Communication, Object Detection, TensorFlow, NumPy, CNNs, PyTorch","TensorFlow, PyTorch, OpenCV",NVIDIA DLI,Retail,Full-time,"Austin, TX",Startup,85290,Hybrid
2422,NLP Engineer,Senior,11,Master's,"Excel, Hugging Face, BERT, Language Models, Transformers, Tokenization, Text Processing, NLP",PyTorch,,E-commerce,Full-time,"Bangalore, India",Mid-size,200000,Yes
2423,ML Engineer,Senior,13,Master's,"Docker, Python, PyTorch, Scikit-learn, Excel","TensorFlow, FastAPI",GCP Professional ML,Healthcare,Full-time,"Amsterdam, Netherlands",Startup,174028,No
2424,ML Engineer,Senior,10,Master's,"Cloud (AWS/GCP/Azure), PyTorch, Docker, Deep Learning, Visualization, Python",PyTorch,GCP Professional ML,Healthcare,Contract,"Sydney, Australia",Large,248045,Yes
2425,ML Engineer,Entry,0,Master's,"Kubernetes, Docker, Machine Learning, Python, Statistics, Excel",TensorFlow,GCP Professional ML,Finance,Contract,"Sydney, Australia",Mid-size,95576,Yes
2426,Data Scientist,Mid,5,Master's,"Statistics, Data Analysis, Machine Learning, SQL, Storytelling",Tableau,Google Professional ML Engineer,Tech,Full-time,Remote,Startup,98030,Yes
2427,Quant Researcher,Senior,10,Master's,"Derivatives Pricing, Pandas, NumPy, R, Excel, Python, Mathematics",Bloomberg,,Insurance,Full-time,"Seattle, WA",Large,254751,No
2428,AI Researcher,Mid,6,Bachelor's,"Algorithm Design, Statistics, Mathematics, Publications, Excel","SLURM, PyTorch, Weights & Biases",,Academia,Full-time,"Seattle, WA",Large,164587,Yes
2429,NLP Engineer,Entry,1,Master's,"NLP, BERT, Tokenization, Hugging Face, Python","PyTorch, Hugging Face",,Legal,Full-time,Singapore,Large,89983,No
2430,Data Scientist,Entry,0,Master's,"Deep Learning, A/B Testing, Git, Feature Engineering, Scikit-learn, Machine Learning","scikit-learn, Spark, Tableau",AWS ML Specialty,Insurance,Remote,"Amsterdam, Netherlands",Large,92322,Yes
2431,NLP Engineer,Mid,5,Bachelor's,"Python, Hugging Face, Language Models, Text Processing, Machine Learning, Deep Learning","Hugging Face, NLTK, PyTorch",,Finance,Full-time,"Amsterdam, Netherlands",Mid-size,129325,Yes
2432,AI Product Manager,Mid,2,Bachelor's,"Agile, Machine Learning, Python, Data Analysis, SQL, Stakeholder Management, Linux, Strategy","Mixpanel, Jira, Figma",PMI-ACP,Tech,Full-time,Remote,Startup,120034,Yes
2433,Quant Researcher,Senior,10,PhD,"Stochastic Calculus, R, Derivatives Pricing, Monte Carlo, NumPy","Bloomberg, KDB+",CFA Level I,Finance,Part-time,"Berlin, Germany",Large,155112,No
2434,Data Scientist,Entry,0,Bachelor's,"Scikit-learn, Python, Statistics, Storytelling, SQL","MLflow, Jupyter",,Finance,Full-time,"Chicago, IL",Startup,66804,No
2435,Computer Vision Engineer,Senior,14,PhD,"Image Processing, TensorFlow, Pandas, Computer Vision, Object Detection","PyTorch, CUDA, Roboflow",,Manufacturing,Full-time,"Amsterdam, Netherlands",Mid-size,223587,Hybrid
2436,Computer Vision Engineer,Mid,6,Master's,"Data Analysis, PyTorch, Computer Vision, Python, Excel, Object Detection","TensorFlow, OpenCV",AWS ML Specialty,Retail,Full-time,"San Francisco, CA",Startup,127901,Hybrid
2437,Data Analyst,Senior,6,PhD,"Excel, Tableau, Data Cleaning, Deep Learning, Business Intelligence, SQL, Statistics","Looker, Google Sheets, Tableau",Tableau Desktop Specialist,Healthcare,Contract,"Boston, MA",Large,140851,Yes
2438,Quant Researcher,Senior,7,Bachelor's,"Data Analysis, Derivatives Pricing, Statistics, Backtesting, Risk Modeling, Mathematics, Communication",Python,,Hedge Fund,Contract,"Denver, CO",Startup,367229,Yes
2439,NLP Engineer,Entry,1,Master's,"Deep Learning, Hugging Face, Language Models, Tokenization, NLP, PyTorch, NumPy","PyTorch, NLTK, FastAPI",DeepLearning.AI NLP,Legal,Full-time,"Berlin, Germany",Mid-size,92662,Hybrid
2440,Data Scientist,Senior,14,Master's,"Statistics, Machine Learning, Storytelling, Feature Engineering, Python, Deep Learning, Git","Tableau, Jupyter, scikit-learn",Google Professional ML Engineer,Insurance,Full-time,"Denver, CO",Mid-size,189293,No
2441,Computer Vision Engineer,Senior,13,Master's,"OpenCV, TensorFlow, PyTorch, Python, Image Processing, Object Detection, Computer Vision","TensorFlow, Roboflow, PyTorch",NVIDIA DLI,Tech,Full-time,"Los Angeles, CA",Startup,194277,Hybrid
2442,Quant Researcher,Entry,0,Bachelor's,"Statistics, Risk Modeling, Derivatives Pricing, Mathematics, SQL, Financial Modeling","R, Python, QuantLib",FRM,Consulting,Part-time,"Toronto, Canada",Mid-size,51868,No
2443,ML Engineer,Entry,1,Master's,"Git, Docker, CI/CD, Scikit-learn, Communication, APIs, PyTorch","PyTorch, Kubernetes",Azure AI Engineer,Automotive,Full-time,"Paris, France",Mid-size,100546,Hybrid
2444,AI Product Manager,Mid,5,PhD,"Scikit-learn, Agile, Strategy, Stakeholder Management, Communication",Jira,PMI-ACP,Tech,Full-time,"Sydney, Australia",Mid-size,125441,No
2445,NLP Engineer,Mid,3,Master's,"BERT, Transformers, Language Models, Hugging Face, Deep Learning, NLP, Problem Solving, Text Processing",Hugging Face,,Healthcare,Full-time,"New York, NY",Large,126087,No
2446,Data Scientist,Mid,5,PhD,"Scikit-learn, Python, Communication, Statistics, Feature Engineering","scikit-learn, Jupyter",,Healthcare,Full-time,"Toronto, Canada",Large,133762,No
2447,Data Analyst,Mid,6,Master's,"Visualization, Excel, APIs, Tableau, Data Cleaning, SQL, Problem Solving, Power BI",Excel,Tableau Desktop Specialist,Marketing,Full-time,"Atlanta, GA",Mid-size,93995,Hybrid
2448,AI Product Manager,Entry,1,Bachelor's,"User Research, SQL, Machine Learning, Product Management, Stakeholder Management, Communication, Agile","Jira, Tableau, Confluence",,Education,Full-time,"Seattle, WA",Large,72914,Yes
2449,ML Engineer,Senior,13,Bachelor's,"Python, Kubernetes, Machine Learning, Cloud (AWS/GCP/Azure), PyTorch","Kubernetes, Docker, TensorFlow",,Automotive,Full-time,Washington DC,Mid-size,194303,Hybrid
2450,AI Researcher,Entry,0,Bachelor's,"Mathematics, LaTeX, Statistics, Linux, Experimentation, Publications","PyTorch, Weights & Biases",,Academia,Full-time,"Paris, France",Startup,108280,No
2451,AI Product Manager,Senior,11,Master's,"Communication, Excel, Strategy, Git, Machine Learning, User Research, SQL, Agile",Confluence,PMI-ACP,SaaS,Full-time,Washington DC,Mid-size,182578,Yes
2452,AI Product Manager,Mid,2,PhD,"Machine Learning, Data Analysis, Roadmapping, SQL, APIs",Jira,,Finance,Contract,"Sydney, Australia",Large,137096,Hybrid
2453,AI Product Manager,Mid,5,PhD,"Statistics, SQL, Data Analysis, Communication, Strategy","Jira, Mixpanel, Tableau",Google PM Certificate,Education,Full-time,"Amsterdam, Netherlands",Large,124695,Yes
2454,Data Engineer,Mid,5,PhD,"ETL, Airflow, Cloud (AWS/GCP/Azure), Kafka, Data Warehousing, Scikit-learn","Kafka, dbt, Spark",AWS Data Analytics,Telecom,Full-time,"Atlanta, GA",Large,120401,No
2455,NLP Engineer,Senior,11,Master's,"Transformers, BERT, Text Processing, Tokenization, Language Models, Visualization","NLTK, spaCy, Hugging Face",,Tech,Remote,"London, UK",Startup,218769,Yes
2456,Data Scientist,Mid,3,Master's,"Statistics, Deep Learning, Excel, Storytelling, Feature Engineering",Spark,Google Professional ML Engineer,Tech,Remote,Singapore,Large,133149,Yes
2457,NLP Engineer,Senior,6,PhD,"Data Analysis, Python, Deep Learning, Transformers, Cloud (AWS/GCP/Azure), Language Models, NLP",PyTorch,DeepLearning.AI NLP,Finance,Full-time,"Dublin, Ireland",Large,186980,Yes
2458,AI Researcher,Senior,12,Master's,"Excel, Python, Deep Learning, Mathematics, LaTeX, Git, Pandas, Algorithm Design","SLURM, JAX, PyTorch",NeurIPS Paper,Tech,Full-time,"Sydney, Australia",Large,196489,Hybrid
2459,Data Engineer,Mid,2,PhD,"Pipeline Design, Hadoop, SQL, Scikit-learn, Kafka",Airflow,,Logistics,Remote,"New York, NY",Startup,110162,Yes
2460,ML Engineer,Entry,1,Master's,"PyTorch, NumPy, APIs, Kubernetes, Model Deployment, Docker, Machine Learning, CI/CD",Docker,AWS ML Specialty,Healthcare,Remote,"Amsterdam, Netherlands",Large,91319,Yes
2461,Computer Vision Engineer,Senior,10,PhD,"Computer Vision, Visualization, CNNs, TensorFlow, OpenCV","Roboflow, CUDA",,Manufacturing,Full-time,"Amsterdam, Netherlands",Mid-size,168081,Hybrid
2462,Data Scientist,Mid,5,Master's,"Pandas, Scikit-learn, Git, Machine Learning, Feature Engineering, Problem Solving, A/B Testing, Python","scikit-learn, Jupyter, Spark",AWS ML Specialty,E-commerce,Full-time,"Amsterdam, Netherlands",Large,135980,No
